englishinstitutionname,uni_id,regionofestablishmentnuts2,nameofthecity,stud_enrolled,cnt,arwu_rank,thes_rank,glob_rank,rank_fees,median_income_imputed,pub
U. Antwerp,86,BE21,Antwerpen,15926,BE,70,56,63,90,18400,1
Ghent U.,18,BE23,Gent,35261,BE,11,20,15.5,92,19200,1
KU Leuven,24,BE24,Leuven,44362,BE,20,7,13.5,91,20700,1
Charles U. in Prague,13,CZ01,Praha,39786,CZ,56,114,85,103,16500,1
U. Stuttgart,136,DE11,Stuttgart,25686,DE,82,55,68.5,116,23900,1
Heidelberg U.,20,DE12,Heidelberg,27094,DE,8,9,8.5,118,22600,1
Karlsruhe Institute of Technology,25,DE12,Karlsruhe,24528,DE,64,26,45,122,22600,1
U. Konstanz,114,DE13,Konstanz,10853,DE,99,57,78,119,22900,1
U. Freiburg,104,DE13,Freiburg im Breisgau,23734,DE,30,14,22,113,22900,1
U. Ulm,81,DE14,Ulm,9663,DE,66,44,55,120,23300,1
Technical U. Munich,47,DE21,München,37110,DE,9,5,7,117,25900,1
U. Bayreuth,88,DE24,Bayreuth,12304,DE,108,78,93,131,21500,1
Technical U. Darmstadt,45,DE71,Darmstadt,24884,DE,101,58,79.5,121,22600,1
U. Duisburg-Essen,98,DEA1,Essen,41321,DE,89,67,78,128,21100,1
U. Cologne,96,DEA2,Köln,49804,DE,48,34,41,129,21100,1
U. Bonn,92,DEA2,Bonn,32626,DE,22,27,24.5,136,21100,1
RWTH Aachen U.,1,DEA2,Aachen,39843,DE,65,13,39,126,21100,1
Bielefeld U.,10,DEA4,Bielefeld,22938,DE,102,77,89.5,125,21700,1
Technical U. Denmark,46,DK01,Lyngby,10813,DK,40,37,38.5,103,16600,1
U. Copenhagen,97,DK01,København,37683,DK,4,36,20,103,16600,1
U. Southern Denmark,134,DK03,Odense,23002,DK,78,79,78.5,103,15100,1
Aarhus U.,4,DK04,Århus,33744,DK,14,22,18,103,15300,1
Aristotle U. Thessaloniki,6,EL52,Thessaloniki,74282,EL,103,127,115,103,10900,1
U. Santiago Compostela,130,ES11,Santiago de Compostela,21771,ES,95,130,112.5,74,14100,1
U. Vigo,144,ES11,Vigo,18856,ES,,138,,74,14100,1
U. the Basque Country,148,ES21,Lejoa,39891,ES,85.5,129,107.25,74,19900,1
U. Zaragoza,147,ES24,Zaragoza,29629,ES,,131,,74,16400,1
Complutense U. Madrid,14,ES30,Madrid,66425,ES,73,116,94.5,74,19300,1
Autonomous U. Madrid,8,ES30,Madrid,26360,ES,77,105,91,74,19300,1
Autonomous U. Barcelona,7,ES51,Barcelona,35649,ES,80,60,70,74,17500,1
Pompeu Fabra U.,35,ES51,Barcelona,18054,ES,61,53,57,74,17500,1
U. Barcelona,87,ES51,Barcelona,52580,ES,39,83,61,74,17500,1
U. Rovira i Virgili,38,ES51,Tarragona,12988,ES,,112,,74,17500,1
U. Valencia,143,ES52,València,44283,ES,98,122,110,74,13400,1
Polytechnic U. Valencia,48,ES52,València,25635,ES,97,119,108,74,13400,1
U. Seville,131,ES61,Sevilla,58756,ES,,135,,74,11800,1
U. Granada,107,ES61,Granada,49203,ES,67,125,96,74,11800,1
Aalto U.,3,FI1B,Espoo,14707,FI,93,64,78.5,103,19000,1
U. Helsinki,110,FI1B,Helsinki,27354,FI,10,28,19,103,19000,1
U. Turku,141,FI1C,Turku,14161,FI,83,102,92.5,103,16500,1
U. Eastern Finland,101,FI1D,Kuopio,13894,FI,96,97,96.5,103,15700,1
U. Oulu,122,FI1D,Oulu,11461,FI,,86,,103,15700,1
Pierre and Marie  Curie U. - Paris 6,34,FR10,Paris,,FR,,50,,136,20900,1
Paris 11,124,FR10,Orsay,,FR,7,71,39,103,20900,1
Paris 7,33,FR10,Paris,,FR,25,85,55,136,20900,1
U. Strasbourg,135,FRF1,Strasbourg,,FR,33,104,68.5,136,17500,1
U. Bordeaux,93,FRI1,Bordeaux,,FR,62,100,81,136,17000,1
U. Montpellier,117,FRJ1,Montpellier,,FR,57,106,81.5,103,15800,1
U. Grenoble Alpes,19,FRK2,Grenoble,,FR,45,98,71.5,136,17900,1
Claude Bernard U. Lyon 1,149,FRK2,Villeurbanne,,FR,50,113,81.5,136,17900,1
Aix-Marseille U.,5,FRL0,Marseille,,FR,,92,,136,17500,1
U. Nice Sophia Antipolis,119,FRL0,Nice,,FR,,140,,103,17500,1
U. Zagreb,146,HR05,Zagreb,64207,HR,,139,,103,15500,1
U. Szeged,137,HU33,Szeged,20501,HU,,137,,47,9900,1
U. College Cork,83,IE05,Cork,17601,IE,105,91,98,42,15100,1
U. College Dublin,84,IE06,Dublin,23306,IE,84,70,77,39,16500,1
Trinity College Dublin,80,IE06,Dublin,14742,IE,43,33,38,36,16500,1
U. Iceland,112,IS00,Reykjavík,,IS,,75,,103,22500,1
U. Turin,140,ITC1,Torino,70750,IT,55,110,82.5,74,19300,1
U. Genoa,105,ITC3,Genova,32994,IT,,115,,74,19400,1
